age,workclass,education_level,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native_country,income
39,3,2,13,1,3,1,0,0,2174,0,4,0,<=50K
5,1,2,13,0,2,0,0,0,0,0,13,0,<=50K
38,0,0,9,2,8,1,0,0,0,0,4,0,<=50K
53,0,4,7,0,8,0,1,0,0,0,4,0,<=50K
28,0,2,13,0,0,4,1,1,0,0,4,8,<=50K
37,0,15,14,0,2,4,0,1,0,0,4,0,<=50K
49,0,9,5,5,5,1,1,1,0,0,16,10,<=50K
52,1,0,9,0,2,0,0,0,0,0,45,0,>50K
31,0,15,14,1,0,1,0,1,1484,0,5,0,>50K
42,0,2,13,0,2,0,0,0,5178,0,4,0,>50K
37,0,1,1,0,2,0,1,0,0,0,8,0,>50K
3,3,2,13,0,0,0,2,0,0,0,4,9,>50K
23,0,2,13,1,3,2,0,1,0,0,3,0,<=50K
32,0,5,12,1,4,1,1,0,0,0,5,0,<=50K
34,0,7,4,0,7,0,3,0,0,0,45,1,<=50K
25,1,0,9,1,9,2,0,0,0,0,35,0,<=50K
32,0,0,9,1,6,3,0,0,0,0,4,0,<=50K
38,0,4,7,0,4,0,0,0,0,0,5,0,<=50K
43,1,15,14,2,2,3,0,1,0,0,45,0,>50K
4,0,10,16,0,0,0,0,0,0,0,6,0,>50K
54,0,0,9,3,5,3,1,1,0,0,2,0,<=50K
35,5,9,5,0,9,0,1,0,0,0,4,0,<=50K
43,0,4,7,0,7,0,0,0,0,242,4,0,<=50K
59,0,0,9,2,10,3,0,1,0,0,4,0,<=50K
56,2,2,13,0,10,0,0,0,0,0,4,0,>50K
19,0,0,9,1,1,2,0,0,0,0,4,0,<=50K
39,0,0,9,2,2,1,0,0,0,0,8,0,<=50K
49,0,0,9,0,1,0,0,0,0,0,4,0,<=50K
23,2,5,12,1,11,1,0,0,0,0,52,0,<=50K
2,0,1,1,1,4,2,1,0,0,0,44,0,<=50K
45,0,2,13,2,2,2,0,0,0,148,4,0,<=50K
3,5,1,1,0,3,2,0,0,0,0,4,0,<=50K
22,3,1,1,0,5,0,1,0,0,0,15,0,<=50K
48,0,4,7,1,6,3,0,0,0,0,4,4,<=50K
21,0,1,1,1,6,2,0,0,0,0,4,0,<=50K
19,0,0,9,6,3,4,0,1,0,0,25,0,<=50K
48,1,5,12,0,0,0,0,0,0,0,4,0,<=50K
31,0,9,5,0,6,0,0,0,0,0,43,0,<=50K
53,1,2,13,0,0,0,0,0,0,0,4,0,<=50K
24,0,2,13,0,10,0,0,0,0,0,5,0,<=50K
49,0,0,9,3,3,3,0,1,0,0,4,0,<=50K
25,0,0,9,1,8,1,0,0,0,0,35,0,<=50K
57,5,2,13,0,0,0,1,0,0,0,4,0,>50K
53,0,0,9,0,6,0,0,0,0,0,38,0,<=50K
44,0,15,14,2,2,3,0,1,0,0,4,0,<=50K
41,3,3,11,0,1,0,0,0,0,0,4,0,<=50K
29,0,3,11,1,0,1,0,0,0,0,43,0,<=50K
25,0,1,1,0,2,4,4,1,0,0,4,0,<=50K
47,0,8,15,0,0,4,0,1,0,192,6,32,>50K
5,5,2,13,2,2,1,0,0,0,0,55,0,>50K
47,4,0,9,2,2,1,0,0,0,0,6,0,<=50K
43,0,1,1,0,10,0,0,0,0,0,4,0,>50K
46,0,12,3,0,6,0,0,0,0,0,4,1,<=50K
35,0,3,11,0,5,0,0,0,0,0,4,4,<=50K
41,0,0,9,0,3,0,0,0,0,0,48,0,<=50K
